
10,충북,칠금동,48.000000,2.000000,48,2,1,17.000000,2.000000,17,2,1
10,충북,중앙탑면,45.000000,2.000000,45,2,1,17.000000,2.000000,17,2,1
10,충북,살미면,34.000000,2.000000,34,2,1,10.000000,1.000000,10,1,1
10,충북,장락동,47.000000,2.000000,47,2,1,18.000000,2.000000,18,2,1
10,충북,영천동,54.000000,2.000000,54,2,1,21.000000,2.000000,21,2,1
10,충북,청풍면,46.000000,2.000000,46,2,1,15.000000,1.000000,15,1,1
10,충북,오창읍,43.000000,2.000000,43,2,1,11.000000,1.000000,11,1,1
10,충북,산남동,39.000000,2.000000,39,2,1,6.000000,1.000000,6,1,1
10,충북,오송읍,46.000000,2.000000,46,2,1,14.000000,1.000000,14,1,1
10,충북,가덕면,35.000000,2.000000,35,2,1,2.000000,1.000000,2,1,1
10,충북,매포읍,54.000000,2.000000,54,2,1,15.000000,1.000000,15,1,1
10,충북,단성면,46.000000,2.000000,46,2,1,18.000000,2.000000,18,2,1
10,충북,단양읍,63.000000,2.000000,63,2,1,25.000000,2.000000,25,2,1
10,충북,청천면,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0
10,충북,괴산읍,41.000000,2.000000,41,2,1,11.000000,1.000000,11,1,1
10,충북,감물면,37.000000,2.000000,37,2,1,15.000000,1.000000,15,1,1
10,충북,진천읍,53.000000,2.000000,53,2,1,18.000000,2.000000,18,2,1
10,충북,덕산읍,48.000000,2.000000,48,2,1,20.000000,2.000000,20,2,1
10,충북,금왕,60.000000,2.000000,60,2,1,20.000000,2.000000,20,2,1
4,인천,길상,35.000000,2.000000,35,2,1,10.000000,1.000000,10,1,1
4,인천,삼산,37.000000,2.000000,37,2,1,13.000000,1.000000,13,1,1
4,인천,경인항,31.000000,2.000000,31,2,1,11.000000,1.000000,11,1,1
4,인천,인천항,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0
4,인천,인천 신항,46.000000,2.000000,46,2,1,18.000000,2.000000,18,2,1
4,인천,인천 북항,56.000000,2.000000,56,2,1,14.000000,1.000000,14,1,1
4,인천,인천 남항,46.000000,2.000000,46,2,1,15.000000,1.000000,15,1,1
8,경기,소사본동,41.000000,2.000000,41,2,1,8.000000,1.000000,8,1,1
8,경기,내동,33.000000,2.000000,33,2,1,9.000000,1.000000,9,1,1
8,경기,중2동,37.000000,2.000000,37,2,1,9.000000,1.000000,9,1,1
8,경기,오정동,44.000000,2.000000,44,2,1,11.000000,1.000000,11,1,1
8,경기,송내대로(중동),52.000000,2.000000,52,2,1,9.000000,1.000000,9,1,1
4,인천,석모리,34.000000,2.000000,34,2,1,9.000000,1.000000,9,1,1
4,인천,덕적도,30.000000,1.000000,30,1,1,12.000000,1.000000,12,1,1
4,인천,백령도,48.000000,2.000000,48,2,1,20.000000,2.000000,20,2,1
4,인천,영흥,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0
4,인천,연평도,40.000000,2.000000,40,2,1,10.000000,1.000000,10,1,1
4,인천,울도,38.000000,2.000000,38,2,1,10.000000,1.000000,10,1,1
10,충북,음성읍,43.000000,2.000000,43,2,1,17.000000,2.000000,17,2,1
10,충북,소이면,47.000000,2.000000,47,2,1,14.000000,1.000000,14,1,1
10,충북,영동읍,33.000000,2.000000,33,2,1,6.000000,1.000000,6,1,1
10,충북,황간면,44.000000,2.000000,44,2,1,9.000000,1.000000,9,1,1
10,충북,도안면,51.000000,2.000000,51,2,1,15.000000,1.000000,15,1,1
10,충북,증평읍,47.000000,2.000000,47,2,1,15.000000,1.000000,15,1,1
10,충북,보은읍,37.000000,2.000000,37,2,1,6.000000,1.000000,6,1,1
10,충북,옥천읍,33.000000,2.000000,33,2,1,11.000000,1.000000,11,1,1
12,전북,삼천동,34.000000,2.000000,34,2,1,6.000000,1.000000,6,1,1
12,전북,팔복동,38.000000,2.000000,38,2,1,10.000000,1.000000,10,1,1
12,전북,송천동,35.000000,2.000000,35,2,1,13.000000,1.000000,13,1,1
12,전북,서신동,34.000000,2.000000,34,2,1,14.000000,1.000000,14,1,1
12,전북,혁신동,34.000000,2.000000,34,2,1,15.000000,1.000000,15,1,1
12,전북,여의동,43.000000,2.000000,43,2,1,15.000000,1.000000,15,1,1
12,전북,효자동,45.000000,2.000000,45,2,1,13.000000,1.000000,13,1,1
12,전북,신풍동(군산),40.000000,2.000000,40,2,1,9.000000,1.000000,9,1,1
12,전북,소룡동,36.000000,2.000000,36,2,1,6.000000,1.000000,6,1,1
12,전북,사정동,37.000000,2.000000,37,2,1,8.000000,1.000000,8,1,1
12,전북,옥산면,33.000000,2.000000,33,2,1,13.000000,1.000000,13,1,1
12,전북,비응도동,40.000000,2.000000,40,2,1,6.000000,1.000000,6,1,1
12,전북,말도,31.000000,2.000000,31,2,1,8.000000,1.000000,8,1,1
12,전북,소룡동2,37.000000,2.000000,37,2,1,10.000000,1.000000,10,1,1
12,전북,삼기면,40.000000,2.000000,40,2,1,14.000000,1.000000,14,1,1
12,전북,팔봉동,44.000000,2.000000,44,2,1,15.000000,1.000000,15,1,1
12,전북,모현동,29.000000,1.000000,29,1,1,10.000000,1.000000,10,1,1
12,전북,용동면,48.000000,2.000000,48,2,1,20.000000,2.000000,20,2,1
12,전북,함열읍,48.000000,2.000000,48,2,1,14.000000,1.000000,14,1,1
12,전북,춘포면,39.000000,2.000000,39,2,1,14.000000,1.000000,14,1,1
12,전북,여산면,38.000000,2.000000,38,2,1,11.000000,1.000000,11,1,1
12,전북,금마면,47.000000,2.000000,47,2,1,15.000000,1.000000,15,1,1
